Question_ID,Dimension,Context,Option_A,Option_B,Cultural_Note
"Q11","SN","새로운 도구나 앱(Notion, CapCut, AI 프롬프트 등)을 배울 때, 당신의 일반적인 방식은?","먼저 튜토리얼을 꼼꼼히 보고 단계별로 따라 하면서, 기능이 어떻게 작동하는지 확실히 한 뒤 나만의 시스템을 만듦.","설명서 따위는 패스! 일단 열어서 이것저것 눌러보고 직감적으로 조작하며 전체적인 바이브를 파악함.","튜토리얼/시스템 (教學與系統) vs 직감/바이브 (直覺與Vibe)。"
"Q12","SN","'5년 후의 자신에 대한 뚜렷한 그림이 있나요?'라고 묻는다면, 당신의 대답은?","'일단 오늘 할 일 리스트부터 제대로 하자. 미래는 매일의 작은 습관과 성실함이 쌓여서 만들어지는 거니까.'","'머릿속에 이미 여러 버전의 파라렐 월드(평행 우주)가 있음. 다른 도시, 다른 직업, 다양한 모습의 나를 상상함.'","오늘 할 일 (今日待辦與累積) vs 파라렐 월드 (腦內平行宇宙的無限可能)。"
"Q13","SN","창작 요리가 메인인 새로운 핫플 레스토랑에 갔습니다. 메뉴판이 온통 처음 보는 요리뿐일 때 당신은?","모험보다는 안정을 추구함. 재료가 명확하게 적혀 있고 내가 아는 맛과 가장 비슷할 것 같은 '안전한 메뉴'를 고름.","이름이 제일 특이하고 괴랄한 메뉴 고르기. 만약 맛이 없더라도 그건 그거대로 단톡방이나 릴스 소재로 최고라고 생각함.","안전한 메뉴 (安全牌) vs 릴스 소재 (Reels與聊天室的搞怪素材)。"
"Q14","SN","글을 써야 하거나 콘텐츠를 만들어야 한다면, 어느 쪽에 더 자신 있나요?","실제 있었던 일을 오감을 살려 디테일하게 묘사하고, 상황을 현실적이고 생생하게 기록한 글.","은유와 상징, 숨겨진 의미나 판타지 요소가 가득 들어간 나만의 가상의 세계관 이야기.","현실적 디테일 (現實細節) vs 세계관 (充滿隱喻的世界觀)。"
"Q15","SN","정답이 없는 선택을 내려야 할 때, 당신이 최종적으로 더 의존하는 것은?","눈에 확실히 보이는 데이터, 과거의 성공 경험, 그리고 객관적인 팩트.","'말로는 설명 못 하지만 그냥 느낌이 와'라고 뇌리를 스치는 강렬한 직감(촉).","데이터와 팩트 (數據與Fact) vs 강렬한 직감/촉 (強烈直覺/觸覺)。"
"Q16","SN","당신에게 '멍 때리기 / 백일몽 꾸기'의 빈도는 어느 정도인가요?","거의 없다. 내 머릿속은 대부분 현실의 할 일 목록을 처리하고 당면한 문제를 해결하느라 바쁘다.","매우 잦다. 가만히 있어도 머릿속으로 항상 다른 미래의 미니 영화가 상영되고 무한한 시뮬레이션이 돌아감.","현실 문제 해결 (現實問題解決) vs 머릿속 미니 영화 (腦內迷你電影)。"
"Q17","TF","친구가 본인 실수로 직장에서 사고를 치고 울면서 하소연합니다. 당신의 첫 반응은?","먼저 자초지종을 듣고 문제 원인을 분석한 뒤, '다음엔 이렇게 수습하자'며 실질적인 해결책을 같이 고민해줌.","잘잘못을 떠나 무조건 내 편! '진짜 힘들었겠다… 맘고생 많았어'라며 감정에 100% 공감해주고 위로해줌.","원인 분석/해결책 (原因分析與對策) vs 100% 공감 (無條件的100%情緒共感)。"
"Q18","TF","타인이 얽혀 있는 중요한 결정을 할 때, 마음속 가장 큰 우선순위는?","'이 결정이 가장 합리적이고, 공정하며, 목표 달성에 효율적인가?'라는 객관적인 타당성.","'이 결정 때문에 누군가 상처받지 않을까? 분위기가 어색해지거나 싸해지지 않을까?'라는 조화로움.","합리/공정/효율 (合理公平效率) vs 상처/분위기 (怕傷人與氣氛冰冷)。"
"Q19","TF","어쩔 수 없이 '구조조정/인원 감축' 명단 작성에 참여해야 한다면, 당신의 기준은?","철저히 이성적으로 판단. 객관적인 실적 데이터, 과거의 기여도, 그리고 미래 성장 가능성을 팩트 기반으로 순위를 매김.","인간적인 딜레마에 빠짐. 가족 부양 부담이 크거나, 오랜 기간 헌신하며 정서적 유대감이 깊은 사람을 최대한 보호하고 싶어짐.","팩트 기반 실적 (基於Fact的績效) vs 인간적 딜레마 (人道考量與情感羈絆)。"
"Q20","TF","사람들이 뒤에서 당신을 어떻게 묘사해 주기를 더 원하나요?","'그 사람 판단력 진짜 좋고, 일 처리 완벽한 프로페셔널이야. 믿고 맡길 수 있어.'","'그 사람은 같이 있으면 마음이 편안해져. 배려심 깊고 참 따뜻한 사람이야.'","프로페셔널 (專業與值得信賴) vs 따뜻한 사람 (溫暖與讓人安心)。"
"Q21","TF","논쟁 중 서로 입장이 평행선을 달릴 때, 당신의 마음을 가장 불편하게 하는 것은?","내 논리가 팩트 기반으로 분명히 맞는데, 자꾸 감정론으로 본질이 흐려져서 말이 안 통할 때의 답답함.","설령 내 말이 맞더라도 관계가 깨지는 것이 싫음. 억지로 이겨서 뻘쭘해지고 후맛이 씁쓸해지는 게 더 견디기 힘듦.","팩트가 감정론에 흐려짐 (Fact被情緒干擾) vs 관계 깨짐 (不想燒橋破壞關係)。"
"Q22","TF","당신에게 '유용하고 받아들이기 쉬운 비판/피드백'이란 어떤 모습인가요?","돌려 말하지 말고 문제점과 구체적인 개선 방향만 깔끔하게 짚어주는 것. (감정 섞이지 않은 팩폭 환영)","먼저 나의 노력이나 잘한 점을 인정해주고, 부드럽게 제안하는 '쿠션어'를 사용해 나를 지지해준다는 느낌을 주는 것.","팩폭 환영 (歡迎Fact暴力與直白) vs 쿠션어 사용 (使用三明治緩衝語氣)。"
"Q23","TF","영화나 드라마에서 당신의 눈물샘을 가장 자극하는 장면은?","절체절명의 극한 상황에서, 캐릭터가 극의 전개상 완벽하게 논리적이고도 강렬한 희생을 선택할 때.","가족이나 '선택된 가족(피가 섞이지 않은 깊은 유대)'의 재회, 혹은 나를 위해 조용히 배려해준 따뜻한 순간.","논리적 희생 (壯烈的邏輯犧牲) vs 선택된 가족 (韓國流行的「選擇的家族」羈絆)。"
"Q24","TF","완전히 말이 안 통하고 억지를 부리는 진상/빌런을 만났을 때, 당신의 내면 자동 반응은?","머리가 차갑게 식으면서, 차가운 논리로 상대의 모순을 낱낱이 분해해 말문이 막히게 만들 궁리를 함.","먼저 감정적으로 상처를 받거나 화가 훅 치밀어 올라 머릿속이 하얘지고, 당장 멋지게 받아칠 말이 떠오르지 않음.","차가운 논리로 분해 (冷靜邏輯拆解) vs 감정적 상처/화 (情緒先受傷或大怒)。"
"Q25","JP","해외여행 가기 전날 밤, 당신의 캐리어는 어떤 상태인가요?","며칠 전부터 체크리스트로 짐을 완벽히 싸둠. 변수를 최소화하고 계획대로 착착 진행되는 안정감을 즐기는 '파워 J'.","바닥에 반쯤 열린 캐리어, 출발 직전까지 생각나는 대로 쑤셔 넣음. '여권이랑 폰만 있으면 다 해결됨' 마인드의 '극한의 패킹 아티스트'.","파워 J (力量J/計畫通) vs 극한의 패킹 아티스트 (極限打包藝術家)。"
"Q26","JP","주말을 보낼 때 당신이 선호하는 방식은?","기상 시간, 갈 장소, 먹을 식당 등 대략적인 일정을 미리 짜두어야 마음이 편하고 하루를 알차게 보낸 것 같음.","당일 아침 기분에 따라 결정하기. 눕고 싶으면 눕고, 갑자기 삘 꽂히면 나가는 유연하고 자유로운 영혼 (극강의 P).","일정 미리 짜기 (提前排定行程) vs 기분에 따라 결정 (看心情決定/極強的P)。"
"Q27","JP","업무나 일상 중 갑자기 '긴급 처리(소방수) 업무'가 끼어들었을 때, 당신의 반응은?","내 원래 리듬과 계획이 깨져서 스트레스를 받지만, 어떻게든 기존 일정에 억지로 끼워 넣으며 묵묵히 처리함.","아드레날린 폭발! 지루하게 정해진 일과를 소화하는 것보다, 이런 즉흥적이고 짜릿한 소방수 역할이 살아있음을 느끼게 함.","계획 깨짐 스트레스 (計畫被打亂的壓力) vs 아드레날린 폭발 (臨時救火的腎上腺素)。"
"Q28","JP","당신의 컴퓨터 바탕화면이나 클라우드 폴더의 상태는 주로 어떤가요?","'디지털 정리 장인'. 프로젝트, 날짜, 유형별로 폴더가 깔끔하게 정리되어 있어 언제든 필요한 자료를 1초 만에 찾음.","'혼돈 속의 질서'. 바탕화면에 온갖 캡처 파일이 널려있고 남이 보면 난장판이지만, 내 머릿속엔 어디에 뭐가 있는지 다 앎.","디지털 정리 장인 (數位整理達人) vs 혼돈 속의 질서 (混沌中的秩序/亂中有序)。"
"Q29","JP","아직 결정되지 않은 선택지(약속, 구매 등)가 있을 때, 당신의 심리 상태는?","미결 상태가 너무 불안함. 일단 빨리 결정을 내려두고 나중에 수정하더라도 확정 지어 놔야 마음이 편안함.","가능한 한 마지막 순간까지 선택지를 열어두고 싶음. 언제 어떻게 상황이 바뀔지 모르니 유연하게 대처할 여지를 남김.","확정 지어야 편안 (提早決定的安心感) vs 마지막 순간까지 열어둠 (保留選項的彈性)。"
"Q30","JP","직장이나 사회의 '규칙과 시스템(SOP)'에 대해 당신의 마음에 더 와닿는 말은?","규칙과 시스템이 있어야 모두가 협력하기 쉽고 효율이 극대화됨. 매뉴얼대로 착착 굴러가는 게 가장 이상적임.","규칙은 참고용 가이드일 뿐. 특수한 상황이 발생했을 땐 매뉴얼보다 인간의 유연성과 창의적 문제 해결 능력이 훨씬 중요함.","효율 극대화 (規則帶來效率) vs 유연성과 창의성 (彈性與創意解決問題)。"
"Q31","JP","바쁜 한 주나 빡센 프로젝트를 마친 후, 당신이 가장 '최고의 카타르시스'를 느끼는 순간은?","투두리스트(To-do list)의 마지막 칸에 V 표시를 하고, 최종 파일을 저장하며 모든 걸 끝마쳤을 때의 엄청난 쾌감.","고생한 나를 위한 보상(Treat yo' self)의 순간! 또는 과정 중 번뜩이는 아이디어로 내 실력이 한 단계 레벨업했음을 느낄 때.","투두리스트 V 표시 (To-do list打勾的清爽感) vs 나를 위한 보상 (Treat yo' self / 犒賞自己)。"
"Q32","JP","'인생'이라는 여정을 대하는 당신의 궁극적인 가치관은?","인생은 '마스터플랜'. 명확한 목표부터 역산해서 퀘스트 깨듯 착실하게 올라가는, 내 삶의 주도권을 쥔 '갓생' 루틴.","인생은 '오픈 결말'. 정해진 길보단 그때그때 끌리는 사이드 프로젝트나 우연한 기회를 즐기는 유연함과 여유.","마스터플랜/갓생 (Master Plan/God生) vs 오픈 결말/사이드 (開放式結局/支線任務)。"
"Q33","AT","계획이 갑자기 크게 어그러지거나 대반전이 일어났을 때, 당신의 첫 심리적 반응은?","'원영적 사고(럭키비키)' 자동 발동! 심호흡 한 번 하고 '오히려 좋아! 다음 플랜은 뭐지? 더 잘 풀리려고 이러나 보다'라며 긍정 회로를 돌림.","순식간에 불안감이 덮치며 '내가 어디서 잘못했지? 왜 이런 일이 생겼을까?'라며 머릿속으로 상황을 무한 리플레이하며 자책함.","원영적 사고/럭키비키 (張員瑛正向轉念/Lucky Vicky) vs 무한 리플레이 자책 (無限Replay自責焦慮)。"
"Q34","AT","자신의 능력이나 성과에 대해, 마음속에서 더 자주 떠오르는 생각은?","'대체로 나는 나 자신을 믿는다. 아예 처음 해보는 일도 시간만 주어지면 결국엔 잘 해낼 거다'라는 건강한 자기 긍정.","'난 아직 한참 부족해.' 남들의 강한 인정이나 확실한 눈앞의 결과물이 있어야만 비로소 안심이 되고 안도감을 느낌.","건강한 자기 긍정 (健康的自我肯定) vs 확실한 결과/인정 필요 (需要外界肯定與明確結果)。"
"Q35","AT","단톡방에서 눈치 없는 말을 해서 분위기가 싸해지거나 민망한 상황이 벌어졌을 때, 당신은?","무적의 멘탈. 그 자리에서 '아… 쏘리' 하거나 웃긴 밈으로 무마해버리고, 뒤돌아서면 금세 잊어버리는 타격감 제로(0) 스타일.","밤에 침대에서 '이불킥' 작렬. 그 순간이 팝업창처럼 계속 떠올라 혼자 수치스러워하며 내면의 고통을 겪음.","타격감 제로 (打擊感零/不在乎) vs 이불킥 작렬 (狂踢被子/尷尬內耗)。"
"Q36","AT","중요한 프로젝트 마감이 코앞으로 다가와 엄청난 압박감에 쫓길 때, 당신의 상태는?","오히려 '하이퍼 포커스(초집중)' 모드에 돌입. 겉으론 툴툴대도 속으론 적당한 압박감이 있어야 내 퍼포먼스가 최고로 잘 나온다는 걸 앎.","실수하거나 제시간에 못 끝낼까 봐 패닉 상태에 빠짐. 극심한 스트레스로 수면의 질이 떨어지고 멘탈이 흔들림.","하이퍼 포커스 (壓力轉為專注/Hyper Focus) vs 패닉/수면 질 하락 (壓力引發恐慌與失眠)。"
"Q37","AT","당신 주변의 '타인의 감정이나 현장 분위기'가 당신에게 미치는 영향력은?","바운더리 철저. '저건 저 사람 감정이고, 내 알 바 아님'이라며 선을 긋고 부정적인 에너지에 쉽게 휩쓸리지 않음.","인간 레이더망. 현장 분위기에 동화되어, 옆 사람이 텐션이 낮거나 우울하면 내 기분도 덩달아 바닥을 치며 감정 소모를 겪음.","바운더리 철저 (明確的情緒邊界) vs 인간 레이더망 (人類雷達網/極易受影響)。"
"Q38","AT","미래에 발생할 수 있는 리스크나 불확실성을 대할 때, 당신의 평소 태도는?","'어떻게든 되겠지. 진짜 문제 터지면 그때 가서 수습하자' 마인드의 무한 긍정, 낙관주의자.","최악의 시나리오를 수십 번 시뮬레이션하고 플랜 B, 플랜 C, 심지어 플랜 D까지 세워둬야 마음이 놓이는 완벽주의 전략가.","무한 긍정/어떻게든 되겠지 (無限樂觀/總會有辦法) vs 최악 시나리오/플랜 B (演練最糟劇本/完美策略家)。"
"Q39","AT","지금 당신의 인생 상태나 성취에 대해 생각했을 때, 어느 쪽에 더 가까운가요?","아직 이루고 싶은 건 많지만, 대체로 지금의 내 모습과 평범한 일상에 만족하며 감사할 줄 앎.","항상 뭔가 2% 부족한 것 같음. '더 버텨야 해, 더 위로 올라가야 해, 아직 멀었어'라며 스스로를 끝없이 채찍질하는 성장캐.","만족하며 감사 (滿足與感謝) vs 끝없이 채찍질 (無止境鞭策自己的成長角色)。"
"Q40","AT","누군가 당신이 공들인 결과물을 보고 '이 부분은 이렇게 수정하는 게 좋겠어'라고 피드백할 때, 당신은?","완벽한 '테플론(알빠임?)' 멘탈. 피드백에서 감정을 분리해 객관적 데이터로만 수용하고 쿨하게 수정함.","찰나의 '마상(마음의 상처)'. 팩트인 건 머리론 알지만, 감정을 추스르고 '이건 날 위한 피드백이야'라고 긍정적으로 소화할 시간이 필요함.","테플론 멘탈 (鐵氟龍心態/客觀接收) vs 마상/소화할 시간 (心傷/需要時間消化轉念)。"
