Question_ID,Dimension,Context,Option_A,Option_B,Cultural_Note
"Q20","TF","人から陰で評価されるなら、どちらの言葉が嬉しいですか：","「あの人は判断力があって、仕事がプロフェッショナルで本当に優秀だよね。」","「あの人は一緒にいると安心するし、思いやりがあって心が温かくなるよね。」","專業與優秀 vs 溫暖與安心。"
"Q21","TF","議論でお互いの意見が対立している時、あなたが心の中でモヤモヤするのは：","自分の論理のほうが明らかに正しいのに、感情論に引っ張られて話が通じないことへの苛立ち。","たとえ自分が正しくても、論破して関係を壊したくないという葛藤。押し切って勝っても後味が悪い。","邏輯被情緒干擾 vs 即使對也不想破壞關係。"
"Q22","TF","あなたにとって「有益で受け入れやすい批判・アドバイス」とは：","問題を直接的に指摘し、具体的な改善策だけを端的に伝えてくれるもの（オブラートに包まなくていい）。","まずは私の努力や良い点を認めてから、優しく提案する形でアドバイスしてくれるもの。","直言不諱的效率 vs 顧及感受的溫柔三明治回饋。"
"Q23","TF","映画やドラマで、思わず涙腺が崩壊してしまうシーンは：","絶体絶命の極限状態において、キャラクターが論理的かつ力強い自己犠牲の決断をする展開。","家族や「選ばれた家族（血の繋がらない深い絆）」の再会、または誰かが密かに優しさを示す瞬間。","壯烈的邏輯犧牲 vs 深刻的情感與羈絆。"
"Q24","TF","全く理不尽な人やクレーマーに出会った時、あなたの内面で自動的に起きる反応は：","頭がフル回転し、冷静な論理で相手の矛盾点を一つずつ解体して無言にさせようとする。","まずは感情的に深く傷ついたり怒りで頭が真っ白になり、すぐには気の利いた反論ができない。","冷靜邏輯拆解 vs 情緒先受傷。"
"Q25","JP","海外旅行の前夜、あなたのスーツケースはどんな状態ですか？","数日前からチェックリストを使って完璧にパッキング済み。忘れ物がないという安心感を楽しむ「計画の鬼」。","床に半開きのまま。出発のギリギリまで思いついたものをポンポン放り込む「極限のパッキングアーティスト」。","計画の鬼 (計畫通) vs 極限のパッキングアーティスト。"
"Q26","JP","せっかくの週末の過ごし方として、あなたが好むのは：","事前にスケジュール（起床時間、行く場所、食べるお店）の枠組みを決めておき、見通しが立っている状態。","当日の朝の気分で決める。家でゴロゴロしたい時はし、出かけたくなったらふらっと出かける柔軟なスタイル。","提前排定框架 vs 當天看心情的柔軟彈性。"
"Q27","JP","仕事や日常で、突然「緊急の割り込みタスク」が降ってきた時、あなたの反応は：","ペースが乱されることにストレスを感じるが、なんとか自分のスケジュール帳に無理やりねじ込んで処理する。","むしろアドレナリンが出る！単調なルーティンワークよりも、こういう突発的な火消し作業のほうが生き生きする。","節奏被打亂的壓力 vs 臨時救火的腎上腺素。"
"Q28","JP","あなたのPCのデスクトップやクラウドフォルダの整理状況は：","デジタル整理の達人。プロジェクトや日付ごとに綺麗にフォルダ分けされており、長期間整然としている。","混沌の魔術師。ファイルやスクショが散乱しているが、自分だけは「どこに何があるか」を大体把握している。","數位整理達人 vs 混沌的魔術師 (亂中有序)。"
"Q29","JP","まだ決定していない選択肢（買うかどうか、行くかどうか等）がある時、あなたの気持ちは：","宙ぶらりんの状態が嫌で焦る。後で微調整してもいいから、とにかく早く決断してスッキリしたい。","ギリギリまで選択肢を残しておきたい。最後の一瞬まで可能性を広げておき、柔軟に対応できる余白が欲しい。","懸著會焦慮/想快點決定 vs 保留選項的餘白。"
"Q30","JP","職場や生活における「ルールやマニュアル」について、あなたの考えに近いのは：","ルールがあるからこそ全体の調和と効率が保たれる。みんながそれに従うことで物事がスムーズに進む。","ルールはあくまで参考。特別な状況が起きた時は、マニュアルよりも人間の柔軟な対応力やクリエイティビティが重要。","規則帶來效率 vs 規則只是參考/彈性與創意至上。"
"Q31","JP","忙しい一週間や重いプロジェクトを終えた時、あなたが一番「最高！」と感じる瞬間は：","ToDoリストの最後のチェックボックスを埋め、ファイルをアーカイブした時の「完全リセット」の爽快感。","頑張った自分への「ご褒美（Treat yo' self）」の瞬間！または、過程で突然素晴らしいアイデアを閃いた時の達成感。","完全Reset的爽快感 vs ご褒美 (Treat yo' self / 犒賞自己)。"
"Q32","JP","「人生というゲーム」に対するあなたのスタンスを表現するなら、どちらがしっくりくる？","人生は「ロードマップ」。目標からの逆算で着実にステップアップしていく「ブレない生き方」が理想。","人生は「オープンワールドRPG」。あえて寄り道を楽しんだり、風の吹くままに生きる「余白のある生き方」が好き。","Roadmap/不搖擺的生存方式 vs Open World RPG/留白的生存方式。"
"Q33","AT","予定が突然大きく狂った時、あなたの最初の内面的反応は：","究極のポジティブ変換（Lucky Vicky思考）！深呼吸して「よし、次はどうする？むしろこれで良かったかも！」と切り替える。","一瞬にして不安の渦に飲み込まれる。「自分のどこがダメだったんだろう」と脳内でミスを激しくリプレイする。","究極的Positive轉換 (Lucky Vicky思考) vs 腦內激烈Replay檢討。"
"Q34","AT","自分の能力やパフォーマンスについて、心の中でよく浮かぶ声は：","「基本的には自分を信じている。全く新しいことでも、時間をかければ必ずできるようになる」という健全な自己肯定感。","「自分はまだ全然足りない。」具体的な結果を出したり、他人から強く認められたりしないと、なかなか安心できない。","健全的自我肯定感 vs 需要具體結果與他人認可。"
"Q35","AT","グループチャットで空気を読めない発言をしてしまったり、すべってしまった後、あなたは：","鉄壁のメンタル防御力。その場で笑い顔のスタンプでごまかし、その後は一切気にせずケロッとしている。","家に帰ってから脳内がその場面を自動再生し、「うわぁぁ」と悶絶する。しばらく気まずさを引きずる。","鐵壁防禦力/毫不在乎 vs 悶絕/揮之不去的尷尬。"
"Q36","AT","大きなプロジェクトの締め切りが迫り、巨大なプレッシャーに追われている時のあなたは：","むしろ究極の「ハイパーフォーカス状態」に突入する。適度なプレッシャーがある方が、自分は速くて優秀だと知っている。","パニックになり、睡眠に影響が出ることも。ミスをしたり、間に合わなかったりする恐怖で精神的な重圧を抱える。","壓力引發 Hyper Focus vs 壓力引發睡眠影響與重壓。"
"Q37","AT","周りの「他人の感情」に対する、あなたの心の境界線の強さは？","境界線がしっかりしている。「それは相手の感情であって、自分の感情ではない」と切り離し、ネガティブな空気に引きずられない。","天性の高感度アンテナ。その場の空気にすぐ影響され、隣の人が落ち込んでいると自分の心まで一緒に沈んでしまう。","境界線明確 vs 天生的高感度天線 (容易被氣氛影響)。"
"Q38","AT","将来起こるかもしれない様々なリスクや不確実なことに対して、あなたの普段のスタンスは：","「本当に起きた時に考えればいいさ。なるようになる！」という、持ち前のポジティブで楽観的なマインド。","優秀な危機管理マネージャー。最悪のシナリオを脳内で何度もシミュレーションし、万全のバックアッププランを用意する。","樂観應對 vs 優秀危機管理經理 (預想最糟劇本)。"
"Q39","AT","今の自分の人生のステータスや達成度について、心の中でどう感じていますか：","まだまだやりたい目標はあるけれど、基本的には今の自分と現在の生活のあり方に満足し、感謝している。","いつも何かが足りない気がする。「もっと頑張らなきゃ、まだまだ上に行けるはず」と、自分を追い込む強い原動力がある。","滿足與感謝現在 vs 永遠覺得不夠的強大原動力。"
"Q40","AT","誰かがあなたの渾身の作品を見て、「ここの部分は少し調整した方がいいかも」と言った時、あなたは：","感情の「テフロン加工（焦げ付き防止）」。その言葉を自動的に客観的なアドバイスに変換し、感情的にならずにサクッと修正する。","一瞬、自分が全否定されたようなチクリとした痛みを感じる。痛みを消化し、「作品を良くするためだ」と昇華するまでに少し時間がいる。","鐵氟龍加工 (不沾鍋) 客觀修正 vs 一瞬間覺得被全否定，需要時間消化。"
