Question_ID,Country,Dimension,Context,Option_A,Option_B,Cultural_Note
Q11,Japan,SN,新しいツールやアプリ（動画編集アプリやAIツールなど）を学ぶ時の、あなたの一般的な手順は：,まずはチュートリアルや説明書をしっかり読み、手順通りに進めて確実な使い方をマスターする。,説明書は読まず、とりあえず開いて直感で色々とクリックし、触りながら全体感を掴んでいく。,教學步驟導向 vs 直覺摸索導向。
Q12,Japan,SN,「5年後の自分のイメージはありますか？」と聞かれたら、あなたは：,「まずは今日のToDoリストをこなすのが先。未来は毎日の小さな習慣や現実的な積み重ねの先にあるものだから。」,「頭の中にいくつものパラレルワールド（別次元）があって、違う街、違う仕事をしている色々な自分の可能性を想像している。」,著眼當下的累積 vs 腦内多重宇宙 (パラレルワールド)。
Q13,Japan,SN,創作料理がウリの新しいレストランへ友達と来ました。メニューは見たことのない料理ばかりです。あなたは：,保守的に、一番馴染みのある味に近いものや、食材が明確に分かる安全なメニューを選ぶ。,一番変わった名前や珍しい料理に惹かれる。もしハズレだったとしても、それはそれで界隈の面白いネタになると思う。,安全牌 vs 踩雷當作聊天素材(ネタ)。
Q14,Japan,SN,もし文章を書くように頼まれたら、どちらのほうが自信がありますか：,実際に起きた出来事を、情景が目に浮かぶような細かい感覚的ディテールで正確に記録した文章。,隠喩（メタファー）や象徴的な意味、ファンタジー要素をたくさん盛り込んだ架空の物語。,真實細節紀錄 vs 隱喻與奇幻故事。
Q15,Japan,SN,正解のない選択を迫られたとき、あなたが最終的に信じるのは：,目に見えるデータ、過去の成功例、そして実際に起きた客観的な事実。,「言葉ではうまく説明できないけれど、なんかこれだ」という強烈な直感（インスピレーション）。,客觀數據與過去經驗 vs 強烈直覺。
Q16,Japan,SN,あなたにとって「ぼーっとする／空想にふける」頻度はどのくらいですか？,かなり少ない。頭の中はほとんど、今日のToDoリストや現実的な問題の解決策で忙しい。,とても多い。頭の中でいつも違う未来のミニ映画を上演したり、様々なシミュレーションをしている。,現實待辦事項 vs 腦內小劇場。
Q17,Japan,TF,自分のミスで仕事に失敗した友達が泣きながら飲みに行こうと誘ってきました。最初の反応は？,まずは時系列や状況を聞き、問題点を一緒に分析して「次はどう対策するか」の具体的なアドバイスを考える。,解決策より先に「つらかったね…本当に大変だったね」と感情に寄り添い、全力で味方になって慰める。,分析對策 vs 情緒共感 (寄り添う)。
Q18,Japan,TF,チームや他人を巻き込む大きな決断をする時、心の中で優先するのは：,「これは合理的で、公平で、最も効率的な選択か？」という客観的な正当性。,「これで誰かを傷つけないか？ 場の空気が気まずくならないか？」という思いやりと調和。,合理公平效率 vs 不傷人和氣與和諧。
Q19,Japan,TF,もしリストラの決断にどうしても関わらなければならないとしたら、あなたは：,客観的なパフォーマンスデータ、実績、そして今後の会社への貢献度を冷徹に基準にする。,家庭の事情が厳しい人や、長年会社に尽くしてきた感情的な繋がりがある人をできるだけ守りたくなる。,客觀績效 vs 人情與忠誠度。
Q20,Japan,TF,人から陰で評価されるなら、どちらの言葉が嬉しいですか：,「あの人は判断力があって、仕事がプロフェッショナルで本当に優秀だよね。」,「あの人は一緒にいると安心するし、思いやりがあって心が温かくなるよね。」,專業與優秀 vs 溫暖與安心。
Q21,Japan,TF,議論でお互いの意見が対立している時、あなたが心の中でモヤモヤするのは：,自分の論理のほうが明らかに正しいのに、感情論に引っ張られて話が通じないことへの苛立ち。,たとえ自分が正しくても、論破して関係を壊したくないという葛藤。押し切って勝っても後味が悪い。,邏輯被情緒干擾 vs 即使對也不想破壞關係。
Q22,Japan,TF,あなたにとって「有益で受け入れやすい批判・アドバイス」とは：,問題を直接的に指摘し、具体的な改善策だけを端的に伝えてくれるもの（オブラートに包まなくていい）。,まずは私の努力や良い点を認めてから、優しく提案する形でアドバイスしてくれるもの。,直言不諱的效率 vs 顧及感受的溫柔三明治回饋。
Q23,Japan,TF,映画やドラマで、思わず涙腺が崩壊してしまうシーンは：,絶体絶命の極限状態において、キャラクターが論理的かつ力強い自己犠牲の決断をする展開。,家族や「選ばれた家族（血の繋がらない深い絆）」の再会、または誰かが密かに優しさを示す瞬間。,壯烈的邏輯犧牲 vs 深刻的情感與羈絆。
Q24,Japan,TF,全く理不尽な人やクレーマーに出会った時、あなたの内面で自動的に起きる反応は：,頭がフル回転し、冷静な論理で相手の矛盾点を一つずつ解体して無言にさせようとする。,まずは感情的に深く傷ついたり怒りで頭が真っ白になり、すぐには気の利いた反論ができない。,冷靜邏輯拆解 vs 情緒先受傷。
Q25,Japan,JP,海外旅行の前夜、あなたのスーツケースはどんな状態ですか？,数日前からチェックリストを使って完璧にパッキング済み。忘れ物がないという安心感を楽しむ「計画の鬼」。,床に半開きのまま。出発のギリギリまで思いついたものをポンポン放り込む「極限のパッキングアーティスト」。,計画の鬼 (計畫通) vs 極限のパッキングアーティスト。
Q26,Japan,JP,せっかくの週末の過ごし方として、あなたが好むのは：,事前にスケジュール（起床時間、行く場所、食べるお店）の枠組みを決めておき、見通しが立っている状態。,当日の朝の気分で決める。家でゴロゴロしたい時はし、出かけたくなったらふらっと出かける柔軟なスタイル。,提前排定框架 vs 當天看心情的柔軟彈性。
Q27,Japan,JP,仕事や日常で、突然「緊急の割り込みタスク」が降ってきた時、あなたの反応は：,ペースが乱されることにストレスを感じるが、なんとか自分のスケジュール帳に無理やりねじ込んで処理する。,むしろアドレナリンが出る！単調なルーティンワークよりも、こういう突発的な火消し作業のほうが生き生きする。,節奏被打亂的壓力 vs 臨時救火的腎上腺素。
Q28,Japan,JP,あなたのPCのデスクトップやクラウドフォルダの整理状況は：,デジタル整理の達人。プロジェクトや日付ごとに綺麗にフォルダ分けされており、長期間整然としている。,混沌の魔術師。ファイルやスクショが散乱しているが、自分だけは「どこに何があるか」を大体把握している。,數位整理達人 vs 混沌的魔術師 (亂中有序)。
Q29,Japan,JP,まだ決定していない選択肢（買うかどうか、行くかどうか等）がある時、あなたの気持ちは：,宙ぶらりんの状態が嫌で焦る。後で微調整してもいいから、とにかく早く決断してスッキリしたい。,ギリギリまで選択肢を残しておきたい。最後の一瞬まで可能性を広げておき、柔軟に対応できる余白が欲しい。,懸著會焦慮/想快點決定 vs 保留選項的餘白。
Q30,Japan,JP,職場や生活における「ルールやマニュアル」について、あなたの考えに近いのは：,ルールがあるからこそ全体の調和と効率が保たれる。みんながそれに従うことで物事がスムーズに進む。,ルールはあくまで参考。特別な状況が起きた時は、マニュアルよりも人間の柔軟な対応力やクリエイティビティが重要。,規則帶來效率 vs 規則只是參考/彈性與創意至上。
Q31,Japan,JP,忙しい一週間や重いプロジェクトを終えた時、あなたが一番「最高！」と感じる瞬間は：,ToDoリストの最後のチェックボックスを埋め、ファイルをアーカイブした時の「完全リセット」の爽快感。,頑張った自分への「ご褒美（Treat yo' self）」の瞬間！または、過程で突然素晴らしいアイデアを閃いた時の達成感。,完全Reset的爽快感 vs ご褒美 (Treat yo' self / 犒賞自己)。
Q32,Japan,JP,「人生というゲーム」に対するあなたのスタンスを表現するなら、どちらがしっくりくる？,人生は「ロードマップ」。目標からの逆算で着実にステップアップしていく「ブレない生き方」が理想。,人生は「オープンワールドRPG」。あえて寄り道を楽しんだり、風の吹くままに生きる「余白のある生き方」が好き。,Roadmap/不搖擺的生存方式 vs Open World RPG/留白的生存方式。
Q33,Japan,AT,予定が突然大きく狂った時、あなたの最初の内面的反応は：,究極のポジティブ変換（Lucky Vicky思考）！深呼吸して「よし、次はどうする？むしろこれで良かったかも！」と切り替える。,一瞬にして不安の渦に飲み込まれる。「自分のどこがダメだったんだろう」と脳内でミスを激しくリプレイする。,究極的Positive轉換 (Lucky Vicky思考) vs 腦內激烈Replay檢討。
Q34,Japan,AT,自分の能力やパフォーマンスについて、心の中でよく浮かぶ声は：,「基本的には自分を信じている。全く新しいことでも、時間をかければ必ずできるようになる」という健全な自己肯定感。,「自分はまだ全然足りない。」具体的な結果を出したり、他人から強く認められたりしないと、なかなか安心できない。,健全的自我肯定感 vs 需要具體結果與他人認可。
Q35,Japan,AT,グループチャットで空気を読めない発言をしてしまったり、すべってしまった後、あなたは：,鉄壁のメンタル防御力。その場で笑い顔のスタンプでごまかし、その後は一切気にせずケロッとしている。,家に帰ってから脳内がその場面を自動再生し、「うわぁぁ」と悶絶する。しばらく気まずさを引きずる。,鐵壁防禦力/毫不在乎 vs 悶絕/揮之不去的尷尬。
Q36,Japan,AT,大きなプロジェクトの締め切りが迫り、巨大なプレッシャーに追われている時のあなたは：,むしろ究極の「ハイパーフォーカス状態」に突入する。適度なプレッシャーがある方が、自分は速くて優秀だと知っている。,パニックになり、睡眠に影響が出ることも。ミスをしたり、間に合わなかったりする恐怖で精神的な重圧を抱える。,壓力引發 Hyper Focus vs 壓力引發睡眠影響與重壓。
Q37,Japan,AT,周りの「他人の感情」に対する、あなたの心の境界線の強さは？,境界線がしっかりしている。「それは相手の感情であって、自分の感情ではない」と切り離し、ネガティブな空気に引きずられない。,天性の高感度アンテナ。その場の空気にすぐ影響され、隣の人が落ち込んでいると自分の心まで一緒に沈んでしまう。,境界線明確 vs 天生的高感度天線 (容易被氣氛影響)。
Q38,Japan,AT,将来起こるかもしれない様々なリスクや不確実なことに対して、あなたの普段のスタンスは：,「本当に起きた時に考えればいいさ。なるようになる！」という、持ち前のポジティブで楽観的なマインド。,優秀な危機管理マネージャー。最悪のシナリオを脳内で何度もシミュレーションし、万全のバックアッププランを用意する。,樂観應對 vs 優秀危機管理經理 (預想最糟劇本)。
Q39,Japan,AT,今の自分の人生のステータスや達成度について、心の中でどう感じていますか：,まだまだやりたい目標はあるけれど、基本的には今の自分と現在の生活のあり方に満足し、感謝している。,いつも何かが足りない気がする。「もっと頑張らなきゃ、まだまだ上に行けるはず」と、自分を追い込む強い原動力がある。,滿足與感謝現在 vs 永遠覺得不夠的強大原動力。
Q40,Japan,AT,誰かがあなたの渾身の作品を見て、「ここの部分は少し調整した方がいいかも」と言った時、あなたは：,感情の「テフロン加工（焦げ付き防止）」。その言葉を自動的に客観的なアドバイスに変換し、感情的にならずにサクッと修正する。,一瞬、自分が全否定されたようなチクリとした痛みを感じる。痛みを消化し、「作品を良くするためだ」と昇華するまでに少し時間がいる。,鐵氟龍加工 (不沾鍋) 客觀修正 vs 一瞬間覺得被全否定，需要時間消化。
Q01,South Korea,EI,"스트레스 폭발, 영혼까지 탈탈 털린 평일이 지나고 드디어 주말! 당신의 본능적인 '에너지 충전' 방식은?",틱톡/인스타 열어서 친구들 갓생 릴스 보고 '이따가 약속 있어? 힐링 타임 같이 할까?'라며 밖으로 나가 에너지 흡수하기.,휴대폰 방해금지 모드로 하고 모든 메시지 무시. 이불 속에서 한 발짝도 안 나가는 '침대와 물아일체'가 최고의 힐링.,갓생/인싸 (充實生活/現充充電) vs 방해금지/물아일체 (勿擾/與床合一的排毒)。
Q02,South Korea,EI,친구가 갑자기 아는 사람이 거의 없는 네트워킹 행사에 데려갔습니다. 처음 10분 동안 당신의 모습은?,일단 음료수 하나 집어 들고 행사장을 돌아다니며 말을 걸고 새로운 인연을 만드는 '아이스 브레이킹 장인'.,구석 자리 찾아 '눈치' 보고 분위기 파악하기. 아는 사람(일명 E 보호자) 옆에 찰싹 붙어 안전해질 때까지 기다림.,아이스 브레이킹 장인 (破冰匠人) vs 눈치/E 보호자 (看眼色/極度依賴E人保護者)。
Q03,South Korea,EI,"모처럼의 휴일, 친구가 갑자기 '지금 나올래? 커피 한잔하자'라고 연락했을 때 당신의 반응은?",1초 만에 옷 갈아입고 나감. 극강의 기동력! 집에만 있으면 쳐지는데 이런 '번개 모임'이야말로 주말의 묘미.,동공 지진 발생. 외출하려면 최소 하루 전 '마음의 준비'가 필요함. 오늘 이미 '집콕 모드'로 세팅됐다면 단호하게 거절.,번개 모임 (閃電聚會/閃約) vs 마음의 준비/집콕 (出門的心理準備/宅在家)。
Q04,South Korea,EI,당신의 인스타그램이나 SNS 활동 스타일을 가장 잘 설명하는 것은?,인스타 스토리 상단이 항상 '점선(무한 업로드)'! 일상을 공유하고 소통하는 게 제일 즐거운 진정한 '프로 소통러'.,"조용히 피드만 넘겨보는 '눈팅(Lurking)' 장인. 본계정은 조용하고, 찐친들만 있는 '비공개 부계정'에서만 조용히 활동함.",스토리 점선/프로 소통러 (限動虛線/專業溝通者) vs 눈팅/비공개 부계정 (潛水/私密小帳)。
Q05,South Korea,EI,단톡방이나 여러 명이 모인 회의 자리에서 당신의 포지션은?,"'오디오가 비는 걸 못 참음!' 생각나는 대로 말하면서 아이디어를 발전시키고, 리액션으로 분위기를 띄우는 인간 활력소.","상황을 묵묵히 지켜보는 '신중한 관찰자'. 남들 대화를 다 듣고 속으로 정리한 뒤, 필요한 순간에만 입을 여는 팩폭 스나이퍼.",오디오가 비는 걸 못 참음 (怕冷場/音軌空白) vs 팩폭 스나이퍼 (不鳴則已，一鳴驚人的事實爆擊狙擊手)。
Q06,South Korea,EI,인간관계에서 당신이 '진짜 친구'를 만들고 신뢰를 쌓는 방식은?,새로운 만남에서 에너지를 얻는 '인맥 부자'. 여러 무리의 사람들을 연결해주는 걸 좋아하며 친화력이 좋은 인간 리트리버.,"인간관계의 '바운더리'가 매우 확실함. 좁고 깊은 관계를 추구하며, 한번 내 사람이라 생각하면 다 퍼주는 '찐친 컬렉터'.",인맥 부자/인간 리트리버 (人脈富翁/人類黃金獵犬) vs 바운더리/찐친 (明確邊界/真親收集者)。
Q07,South Korea,EI,"평소 가보고 싶었던 핫플(팝업스토어, 카페 등)을 발견했을 때, 당신이 가장 선호하는 방문 방식은?",'좋은 건 다 같이!' 바로 단톡방에 링크를 뿌리며 파티원을 모집함. 여러 명과 텐션을 올리며 떠들석하게 즐겨야 제맛.,"'나홀로 투어' 혹은 영혼의 단짝 딱 1명만 데려감. 여럿이 가서 기 빨리는 것보다, 내 페이스대로 온전히 공간을 음미하고 싶음.",파티원 모집 (招募派對成員) vs 나홀로 투어/기 빨림 (獨自一人/討厭被吸乾精力)。
Q08,South Korea,EI,"고민이 생기거나 중요한 결정을 내려야 할 때, 당신이 해답을 찾는 방식은?",타인과 소통하며 해답을 찾는 '외부 연결형'. 친구와 폭풍 수다를 떨며 타인의 리액션과 에너지를 '흡수(충전)'해야 생각이 정리됨.,"방구석 '리서치 장인'. 혼자 끙끙대기보단 커뮤니티 정독, 구글링, 심지어 'AI와 심도 깊은 토론'을 거친 후 완벽한 결론을 도출함.",에너지 흡수/수다 (暴風聊天吸收能量) vs 방구석 리서치/AI 토론 (房間角落的資料搜查匠人/與AI討論)。
Q09,South Korea,SN,"친구가 신나서 어떤 사건이나 소문을 이야기할 때, 당신이 가장 먼저 집중하는 정보는?","'그래서 몇 시? 어디서? 그 다음에 정확히 어떻게 됐어?'라며 시간, 장소, 팩트 등 구체적인 디테일을 파악하려 함.",'왜 그랬을까? 그게 어떤 의미가 숨어있는 걸까?'라며 눈에 보이지 않는 동기나 사건 이면의 맥락을 파헤치려 함.,팩트 디테일 (Fact細節) vs 이면의 맥락 (背後的脈絡與動機)。
Q10,South Korea,SN,창가에 서서 조용한 숲 사진을 바라보고 있습니다. 가장 먼저 떠오르는 생각은?,'실제 온도는 어떨까? 나뭇잎 색깔 참 예쁘다. 공기 냄새는 비 온 후 같을까?'라며 구체적인 감각을 떠올림.,'이거 완전 주인공 바이브... 내가 저 숲에 들어가면 내 인생 서사가 어떻게 바뀔까?'라며 상상력의 나래를 펼침.,구체적 감각 (具體五感) vs 주인공 바이브 (主角Vibe與想像力)。
Q11,South Korea,SN,"새로운 도구나 앱(Notion, CapCut, AI 프롬프트 등)을 배울 때, 당신의 일반적인 방식은?","먼저 튜토리얼을 꼼꼼히 보고 단계별로 따라 하면서, 기능이 어떻게 작동하는지 확실히 한 뒤 나만의 시스템을 만듦.",설명서 따위는 패스! 일단 열어서 이것저것 눌러보고 직감적으로 조작하며 전체적인 바이브를 파악함.,튜토리얼/시스템 (教學與系統) vs 직감/바이브 (直覺與Vibe)。
Q12,South Korea,SN,"'5년 후의 자신에 대한 뚜렷한 그림이 있나요?'라고 묻는다면, 당신의 대답은?",'일단 오늘 할 일 리스트부터 제대로 하자. 미래는 매일의 작은 습관과 성실함이 쌓여서 만들어지는 거니까.',"'머릿속에 이미 여러 버전의 파라렐 월드(평행 우주)가 있음. 다른 도시, 다른 직업, 다양한 모습의 나를 상상함.'",오늘 할 일 (今日待辦與累積) vs 파라렐 월드 (腦內平行宇宙的無限可能)。
Q13,South Korea,SN,창작 요리가 메인인 새로운 핫플 레스토랑에 갔습니다. 메뉴판이 온통 처음 보는 요리뿐일 때 당신은?,모험보다는 안정을 추구함. 재료가 명확하게 적혀 있고 내가 아는 맛과 가장 비슷할 것 같은 '안전한 메뉴'를 고름.,이름이 제일 특이하고 괴랄한 메뉴 고르기. 만약 맛이 없더라도 그건 그거대로 단톡방이나 릴스 소재로 최고라고 생각함.,안전한 메뉴 (安全牌) vs 릴스 소재 (Reels與聊天室的搞怪素材)。
Q14,South Korea,SN,"글을 써야 하거나 콘텐츠를 만들어야 한다면, 어느 쪽에 더 자신 있나요?","실제 있었던 일을 오감을 살려 디테일하게 묘사하고, 상황을 현실적이고 생생하게 기록한 글.","은유와 상징, 숨겨진 의미나 판타지 요소가 가득 들어간 나만의 가상의 세계관 이야기.",현실적 디테일 (現實細節) vs 세계관 (充滿隱喻的世界觀)。
Q15,South Korea,SN,"정답이 없는 선택을 내려야 할 때, 당신이 최종적으로 더 의존하는 것은?","눈에 확실히 보이는 데이터, 과거의 성공 경험, 그리고 객관적인 팩트.",'말로는 설명 못 하지만 그냥 느낌이 와'라고 뇌리를 스치는 강렬한 직감(촉).,데이터와 팩트 (數據與Fact) vs 강렬한 직감/촉 (強烈直覺/觸覺)。
Q16,South Korea,SN,당신에게 '멍 때리기 / 백일몽 꾸기'의 빈도는 어느 정도인가요?,거의 없다. 내 머릿속은 대부분 현실의 할 일 목록을 처리하고 당면한 문제를 해결하느라 바쁘다.,매우 잦다. 가만히 있어도 머릿속으로 항상 다른 미래의 미니 영화가 상영되고 무한한 시뮬레이션이 돌아감.,현실 문제 해결 (現實問題解決) vs 머릿속 미니 영화 (腦內迷你電影)。
Q17,South Korea,TF,친구가 본인 실수로 직장에서 사고를 치고 울면서 하소연합니다. 당신의 첫 반응은?,"먼저 자초지종을 듣고 문제 원인을 분석한 뒤, '다음엔 이렇게 수습하자'며 실질적인 해결책을 같이 고민해줌.",잘잘못을 떠나 무조건 내 편! '진짜 힘들었겠다… 맘고생 많았어'라며 감정에 100% 공감해주고 위로해줌.,원인 분석/해결책 (原因分析與對策) vs 100% 공감 (無條件的100%情緒共感)。
Q18,South Korea,TF,"타인이 얽혀 있는 중요한 결정을 할 때, 마음속 가장 큰 우선순위는?","'이 결정이 가장 합리적이고, 공정하며, 목표 달성에 효율적인가?'라는 객관적인 타당성.",'이 결정 때문에 누군가 상처받지 않을까? 분위기가 어색해지거나 싸해지지 않을까?'라는 조화로움.,합리/공정/효율 (合理公平效率) vs 상처/분위기 (怕傷人與氣氛冰冷)。
Q19,South Korea,TF,"어쩔 수 없이 '구조조정/인원 감축' 명단 작성에 참여해야 한다면, 당신의 기준은?","철저히 이성적으로 판단. 객관적인 실적 데이터, 과거의 기여도, 그리고 미래 성장 가능성을 팩트 기반으로 순위를 매김.","인간적인 딜레마에 빠짐. 가족 부양 부담이 크거나, 오랜 기간 헌신하며 정서적 유대감이 깊은 사람을 최대한 보호하고 싶어짐.",팩트 기반 실적 (基於Fact的績效) vs 인간적 딜레마 (人道考量與情感羈絆)。
Q20,South Korea,TF,사람들이 뒤에서 당신을 어떻게 묘사해 주기를 더 원하나요?,"'그 사람 판단력 진짜 좋고, 일 처리 완벽한 프로페셔널이야. 믿고 맡길 수 있어.'",'그 사람은 같이 있으면 마음이 편안해져. 배려심 깊고 참 따뜻한 사람이야.',프로페셔널 (專業與值得信賴) vs 따뜻한 사람 (溫暖與讓人安心)。
Q21,South Korea,TF,"논쟁 중 서로 입장이 평행선을 달릴 때, 당신의 마음을 가장 불편하게 하는 것은?","내 논리가 팩트 기반으로 분명히 맞는데, 자꾸 감정론으로 본질이 흐려져서 말이 안 통할 때의 답답함.",설령 내 말이 맞더라도 관계가 깨지는 것이 싫음. 억지로 이겨서 뻘쭘해지고 후맛이 씁쓸해지는 게 더 견디기 힘듦.,팩트가 감정론에 흐려짐 (Fact被情緒干擾) vs 관계 깨짐 (不想燒橋破壞關係)。
Q22,South Korea,TF,당신에게 '유용하고 받아들이기 쉬운 비판/피드백'이란 어떤 모습인가요?,돌려 말하지 말고 문제점과 구체적인 개선 방향만 깔끔하게 짚어주는 것. (감정 섞이지 않은 팩폭 환영),"먼저 나의 노력이나 잘한 점을 인정해주고, 부드럽게 제안하는 '쿠션어'를 사용해 나를 지지해준다는 느낌을 주는 것.",팩폭 환영 (歡迎Fact暴力與直白) vs 쿠션어 사용 (使用三明治緩衝語氣)。
Q23,South Korea,TF,영화나 드라마에서 당신의 눈물샘을 가장 자극하는 장면은?,"절체절명의 극한 상황에서, 캐릭터가 극의 전개상 완벽하게 논리적이고도 강렬한 희생을 선택할 때.","가족이나 '선택된 가족(피가 섞이지 않은 깊은 유대)'의 재회, 혹은 나를 위해 조용히 배려해준 따뜻한 순간.",논리적 희생 (壯烈的邏輯犧牲) vs 선택된 가족 (韓國流行的「選擇的家族」羈絆)。
Q24,South Korea,TF,"완전히 말이 안 통하고 억지를 부리는 진상/빌런을 만났을 때, 당신의 내면 자동 반응은?","머리가 차갑게 식으면서, 차가운 논리로 상대의 모순을 낱낱이 분해해 말문이 막히게 만들 궁리를 함.","먼저 감정적으로 상처를 받거나 화가 훅 치밀어 올라 머릿속이 하얘지고, 당장 멋지게 받아칠 말이 떠오르지 않음.",차가운 논리로 분해 (冷靜邏輯拆解) vs 감정적 상처/화 (情緒先受傷或大怒)。
Q25,South Korea,JP,"해외여행 가기 전날 밤, 당신의 캐리어는 어떤 상태인가요?",며칠 전부터 체크리스트로 짐을 완벽히 싸둠. 변수를 최소화하고 계획대로 착착 진행되는 안정감을 즐기는 '파워 J'.,"바닥에 반쯤 열린 캐리어, 출발 직전까지 생각나는 대로 쑤셔 넣음. '여권이랑 폰만 있으면 다 해결됨' 마인드의 '극한의 패킹 아티스트'.",파워 J (力量J/計畫通) vs 극한의 패킹 아티스트 (極限打包藝術家)。
Q26,South Korea,JP,주말을 보낼 때 당신이 선호하는 방식은?,"기상 시간, 갈 장소, 먹을 식당 등 대략적인 일정을 미리 짜두어야 마음이 편하고 하루를 알차게 보낸 것 같음.","당일 아침 기분에 따라 결정하기. 눕고 싶으면 눕고, 갑자기 삘 꽂히면 나가는 유연하고 자유로운 영혼 (극강의 P).",일정 미리 짜기 (提前排定行程) vs 기분에 따라 결정 (看心情決定/極強的P)。
Q27,South Korea,JP,"업무나 일상 중 갑자기 '긴급 처리(소방수) 업무'가 끼어들었을 때, 당신의 반응은?","내 원래 리듬과 계획이 깨져서 스트레스를 받지만, 어떻게든 기존 일정에 억지로 끼워 넣으며 묵묵히 처리함.","아드레날린 폭발! 지루하게 정해진 일과를 소화하는 것보다, 이런 즉흥적이고 짜릿한 소방수 역할이 살아있음을 느끼게 함.",계획 깨짐 스트레스 (計畫被打亂的壓力) vs 아드레날린 폭발 (臨時救火的腎上腺素)。
