題號,維度,繁體中文,繁體中文_選項1,繁體中文_選項2,英文,英文_選項1,英文_選項2,日文,日文_選項1,日文_選項2,韓文,韓文_選項1,韓文_選項2,文化語境與中文回推差異
11,SN,"學一個全新的工具或軟體時，你通常的流程是：","先看教學或操作說明，一步步照做，確認功能再延伸。","直接打開開始亂點，邊玩邊猜它的邏輯是什麼。","When learning a completely new tool or software, your usual process is:","Read the tutorial or manual first, follow it step-by-step, confirm its functions, and then expand.","Just open it and start clicking around, guessing its logic as you play with it.","新しいツールやソフトウェアを学ぶ時のあなたの一般的な手順は：","まずはチュートリアルや説明書を読み、手順通りに進めて機能を確認してから応用する。","とりあえず開いて色々とクリックし、触りながらその仕組みを推測していく。","새로운 도구나 소프트웨어를 배울 때, 당신의 일반적인 방식은:","먼저 튜토리얼이나 설명서를 읽고, 단계별로 따라 하면서 기능을 확인한 후 활용한다.","일단 열어서 이것저것 클릭해 보고, 만져보면서 작동 원리를 유추한다.","直譯，無特殊文化背景差異。"
12,SN,"如果我問你：「你對 5 年後的自己有畫面嗎？」你比較會說：","先把眼前的事做好再說，未來是現在累積出來的。","有一堆版本在腦中上演，會想像不同城市、不同工作、不同生活方式。","If I ask: ""Do you have a picture of yourself 5 years from now?"", you would likely say:","Let's just focus on doing things well right now. The future is built on present accumulations.","I have multiple versions playing in my head, imagining different cities, jobs, or lifestyles.","「5年後の自分のイメージはありますか？」と聞かれたら、あなたは：","まずは目の前のことをしっかりやる。未来は今の積み重ねだから。","頭の中でいくつかのパラレルワールドがあり、違う都市、仕事、ライフスタイルを想像している。","""5년 후의 자신에 대한 그림을 가지고 있나요?""라고 묻는다면, 당신의 대답은:","일단 지금 눈앞의 일에 집중하자. 미래는 현재가 쌓여서 만들어지는 거니까.","머릿속에 여러 가지 버전이 있고, 다른 도시, 직업, 라이프스타일을 다양하게 상상해 본다.","直譯，無特殊文化背景差異。"
13,SN,"和朋友去一間主打「創意料理」的新餐廳，菜單上全是沒見過的菜，你會：","保守地選看起來最安全、最接近熟悉味道的那幾道。","想點名字最怪或最特別的菜，就算踩雷也覺得是一次好玩的經驗。","You go to a new ""creative cuisine"" restaurant with friends, and the menu is full of dishes you've never seen. You will:","Conservatively pick the safest option, the one that sounds closest to familiar flavors.","Want to try the weirdest or most unique dish. Even if it's a miss, it's a fun experience.","「創作料理」がウリの新しいレストランへ友達と来ました。メニューは見たことのない料理ばかりです。あなたは：","保守的に、一番安全そうで馴染みのある味に近いものを選ぶ。","一番変わった名前や珍しい料理に惹かれる。もしハズレでも「面白い経験」として楽しめる。","친구들과 유니크한 ""퓨전 창작 요리"" 식당에 갔습니다. 메뉴판에는 처음 보는 요리들이 가득합니다. 당신은:","보수적으로, 가장 안전해 보이고 아는 맛에 가까울 것 같은 요리를 고른다.","이름이 가장 특이하거나 독특한 요리를 고르고 싶다. 맛이 없더라도 재미있는 경험이니까.","【創意料理】(Creative cuisine) 【英】creative cuisine (創新料理)、【日】創作料理 (Sousaku ryouri)、【韓】퓨전 창작 요리 (Fusion creative cuisine)，皆使用在地對於新奇未知餐廳的在地詞彙。"
14,SN,"如果要你寫一篇文章，你會比較有把握的是：","記錄一段真實發生的事情，用細節把畫面講清楚。","虛構一個世界，寫一個帶有隱喻、象徵或奇幻元素的故事。","If you were asked to write an article, you would feel more confident writing:","A record of a real event, explaining the scene clearly with concrete details.","A fictional world, writing a story with metaphors, symbols, or fantasy elements.","もし文章を書くように頼まれたら、どちらのほうが自信がありますか：","実際に起きた出来事の記録や、細部を明確にした具体的なレポート。","隠喩や象徴、ファンタジー要素を交えた架空のストーリー。","글을 써야 한다면, 어느 쪽에 더 자신 있나요?","실제로 일어난 일을 구체적인 세부 묘사를 통해 생생하게 기록한 글.","은유, 상징, 혹은 판타지적 요소가 가미된 허구의 세계나 이야기.","直譯，無特殊文化背景差異。"
15,SN,"當你在做選擇時，你比較會相信：","已經看得見的事實、數字、過去的經驗。","一種「說不出來但就是覺得對／不對」的直覺。","When making a choice, you tend to trust:","Visible facts, numbers, and past experiences.","An intuition of ""I can't explain it, but it just feels right/wrong.""","選択をするとき、あなたがより信じるのは：","すでに目に見えている事実、データ、そして過去の経験。","「言葉では説明できないけれど、何となくこれだ（違う）」という直感。","선택을 할 때, 당신이 더 믿는 것은:","눈에 보이는 사실, 수치 데이터, 그리고 과거의 경험.","""말로 설명할 수는 없지만 그냥 느낌이 좋아/별로야"" 하는 직감.","直譯，無特殊文化背景差異。"
16,SN,"對你來說，「發呆／做白日夢」的頻率比較像：","很少，我腦中大部分時間都在轉待辦事項、現實問題。","很常，腦中會自己演小劇場、幻想不同的可能發展。","For you, how often do you ""zone out / daydream""?","Rarely. My brain is mostly turning over to-do lists and practical problems.","Very often. My brain runs its own mini-theaters and imagines different possible paths.","あなたにとって、「ぼーっとする／空想にふける」頻度はどのくらいですか？","少ない。私の頭の中は、ほとんどやるべきことや現実的な問題の処理に占められている。","とても多い。頭の中で劇が上演され、色んな結末の可能性を想像している。","당신에게 ""멍 때리기/백일몽 꾸기""의 빈도는 어느 정도인가요?","거의 없다. 내 머릿속은 대부분 할 일 목록이나 현실적인 문제들로 바쁘게 돌아간다.","매우 잦다. 머릿속으로 혼자 작은 상황극을 연출하거나 다양한 시나리오를 상상한다.","直譯，無特殊文化背景差異。"
17,TF,"朋友因為自己的失誤導致工作出包，約你出來喝東西，一坐下就開始哭，你第一個反應會放在哪裡？","先聽完細節，開始一起分析問題在哪，下次可以怎麼調整。","先陪他把情緒穩住，跟他說「你一定難受吧」，讓他覺得被理解。","A friend messed up at work because of their own mistake. They ask you out for a drink and start crying as soon as they sit down. Where does your very first reaction go?","Listen to the details first, then start analyzing the problem together and how to fix it next time.","Comfort their emotions first, saying ""You must feel terrible,"" making them feel understood.","自分のミスで仕事に失敗した友達から飲みに誘われました。席に着くや否や泣き出した友達に対し、あなたの最初の反応は？","","まずは相手の感情に寄り添い、「つらかったね」と慰め、理解されていると感じてもらう。","친구가 본인의 실수로 직장에서 사고를 쳤습니다. 당신에게 술을 마시자고 불러내더니, 자리에 앉자마자 울기 시작합니다. 당신의 첫 반응은 어디로 향하나요?","먼저 자초지종을 듣고, 문제의 원인이 무엇인지 분석하며 다음엔 어떻게 대비할지 같이 생각한다.","먼저 감정을 달래주고, ""진짜 힘들었겠다""라며 공감해주고 마음을 알아준다.","【出包】(Messed up) 【英】messed up、【日】仕事に失敗した (工作失敗)、【韓】사고를 쳤습니다 (闖禍了)。英文偏口語，日韓偏嚴重一點的社畜語境。"
18,TF,"在做重要決策時，你心裡的優先排序比較是：","這樣做合不合理？對事情本身是不是最公平、最有效率？","這樣做會不會傷到誰？大家感受怎麼樣、關係會不會變尷尬？","When making important decisions, your internal priority is usually:","Is this reasonable? Is it the fairest and most efficient way for the task itself?","Will this hurt anyone? How will everyone feel, and will this create awkward relationships?","重要な決断を下す時、あなたが心の中で優先するのはどちらですか：","これは合理的か？物事にとって最も公平で効率的な選択か？","これは誰かを傷つけないか？みんなはどう感じるか、関係が気まずくならないか？","중요한 결정을 내릴 때, 당신의 마음속 우선순위는 어느 쪽에 가깝나요:","이 선택이 합리적인가? 일 자체적으로 가장 공정하고 효율적인 방법인가?","이 결정으로 상처받는 사람이 생길까? 사람들의 기분은 어떨지, 분위기가 어색해지진 않을까?","直譯，無特殊文化背景差異。"
19,TF,"如果你被迫要參與一場「裁員決策」，你更傾向：","以客觀績效、貢獻度、未來發展性來排序。","儘量保護家庭壓力大、年資久或對公司特別有情感連結的人。","If you were forced to participate in a ""layoff decision"", you would lean towards:","Ranking based on objective performance, contribution, and future developmental potential.","Trying to protect those with heavy family burdens, high seniority, or deep emotional ties to the company.","もし「リストラの決断」に関わらなければならないとしたら、あなたはどちらを重視しますか：","客観的なパフォーマンス、貢献度、将来の伸び代に基づいて順位づけする。","家庭の事情が厳しい人、勤続年数が長い人、会社への思い入れが強い人をできるだけ守る。","만약 당신이 어쩔 수 없이 ""구조조정(해고) 명단 작성""에 참여해야 한다면, 당신의 기준은:","객관적인 실적, 기여도, 미래 성장 가능성을 기준으로 순위를 매긴다.","가족 부양 부담이 크거나, 근속 연수가 길거나, 회사에 남다른 애정을 가진 사람을 최대한 보호한다.","【裁員決策】(Layoff decision) 【日】リストラの決断 (Restructuring，日本常用詞彙)、【韓】구조조정/해고 명단 작성 (結構調整/解僱名單)。反映亞洲企業裁員的委婉說法。"
20,TF,"你更希望別人私下形容你是：","「這個人很有判斷力，做事很專業、很有能力。」","「這個人很好相處，跟他在一起很安心、很溫暖。」","You prefer people to describe you privately as:","""This person has great judgment; they are very professional and competent.""","""This person is so easy to get along with; being with them feels safe and warm.""","人から陰でこう評価されるなら、どちらが嬉しいですか：","「あの人は判断力があって、仕事もプロフェッショナルで優秀だよね。」","「あの人は付き合いやすくて、一緒にいると安心するし心が温かくなるよね。」","사람들이 뒤에서 당신을 어떻게 묘사해 주기를 더 원하나요?","""저 사람은 판단력이 좋고, 일을 정말 프로페셔널하게 잘해.""","""저 사람은 무척 다정하고, 같이 있으면 마음이 편안하고 따뜻해져.""","直譯，無特殊文化背景差異。"
21,TF,"和人爭論一件事情，雙方都各有立場時，你心裡更放不下的是：","明明我的論點比較有邏輯，卻被情緒帶著走，很不舒服。","即使我有道理，也不想撕破臉，如果硬講贏了會覺得心裡不舒服。","When arguing with someone and both sides hold a firm stance, what bothers you most is:","My argument was clearly more logical, but it got derailed by emotions, which makes me uncomfortable.","Even if I'm right, I don't want to burn bridges. Winning by force makes me feel uneasy.","誰かと議論になり、お互いに意見が食い違っている時、あなたが気にするのは：","私の主張のほうが論理的なのに、感情論に引っ張られて不快だ。","仮に私が正しくても、関係を壊したくない。押し切って勝っても後味が悪い。","다른 사람과 논쟁이 생기고 서로의 입장이 평행선을 달릴 때, 당신의 마음을 불편하게 하는 것은:","내 주장이 분명 더 논리적인데, 상대가 감정적으로 나와서 본질이 흐려지는 상황.","내 말이 맞다 하더라도, 관계를 망치고 싶지 않다. 매정하게 이기고 나면 마음이 불편하다.","直譯，無特殊文化背景差異。"
22,TF,"對你來說，「有用的批評」應該長什麼樣：","直接點出問題、給出具體改進方向，不用太顧慮我的感受。","先肯定優點，再提出建議，讓我覺得是在幫我、不是否定我。","To you, ""useful criticism"" should look like this:","Directly point out the problem and give specific directions for improvement, no need to coddle feelings.","Acknowledge the good parts first, then offer suggestions, making me feel supported rather than negated.","あなたにとって「有益な批判」とはどのようなものですか：","問題を直接指摘し、具体的な改善策を提示してくれるもの。私の感情に配慮しすぎる必要はない。","まず長所を認めた上でアドバイスをくれるもの。否定ではなくサポートだと感じられる言葉。","당신에게 ""유용한 비판""이란 어떤 모습인가요?","내 기분은 굳이 고려하지 않아도 되니, 문제를 직접적으로 지적하고 구체적인 개선 방향을 주는 것.","먼저 장점을 짚어주고 조언을 건네어, 나를 무시하는 게 아니라 도와준다고 느끼게 하는 것.","直譯，無特殊文化背景差異。"
23,TF,"在電影或影集裡，最容易戳中你眼淚的橋段是：","角色在極端困境下做出一個很有力量的選擇或犧牲，整個設計很有邏輯。","家人擁抱、久別重逢、有人為了愛或友情做出溫柔的舉動。","In movies or TV shows, the scene that most easily brings you to tears is:","A character making a powerful or sacrificial choice in an extreme dilemma, making perfect logical sense for the plot.","Families hugging, tearful reunions, or someone doing an incredible act of gentleness out of love or friendship.","映画やドラマで、あなたが思わず涙してしまうシーンはどちらですか：","極限状態の中で、キャラクターが論理的かつ力強い決断や犠牲を払う自己完結した展開。","家族の抱擁、久々の再会、愛や友情のための優しさに溢れた行動。","영화나 드라마에서 당신의 눈물샘을 자극하는 장면은?","캐릭터가 극한의 딜레마 속에서 논리적으로 완벽하게 납득되는, 그러나 묵직한 선택이나 희생을 할 때.","가족들의 포옹, 눈물의 재회, 누군가 사랑이나 우정을 위해 헌신적이고 따뜻한 행동을 할 때.","【電影橋段戳中眼淚】 【英】tearful reunions、【日】久々の再会 (久別重逢)、【韓】눈물의 재회 (眼淚的再會)。"
24,TF,"遇到一個完全不講理的人，你的內在自動模式比較是：","想用冷靜的邏輯拆解對方矛盾的地方，讓他無話可說。","會先情緒上受傷或生氣，很難在當下冷靜地說出漂亮的反擊。","When facing someone who is completely unreasonable, your inner autopilot is to:","Dismantle their contradictions with cold logic until they are left speechless.","Feel emotionally hurt or angry first, finding it difficult to compose a neat comeback on the spot.","全く理不尽な人に出会った時、あなたの自動的な内面反応は：","冷静な論理で相手の矛盾を解体し、ぐうの音も出ないようにしたい。","まずは感情的に傷ついたり怒ったりしてしまい、その場で見事な反論をするのが難しい。","완전히 말이 안 통하는 막무가내인 사람을 만났을 때, 당신의 내면 자동 반응은:","차가운 논리로 상대의 모순을 조목조목 짚어, 아무 말도 못 하게 논파하고 싶다.","일단 감정적으로 상처받거나 화가 나서, 바로 그 자리에서 멋지게 반박하기가 어렵다.","直譯，無特殊文化背景差異。"
25,JP,"出國旅行前一晚，你的行李通常長什麼樣？","幾天前就差不多收好了，還有打勾清單確認一遍。","地上還攤著半開的行李箱，邊想邊塞，有些東西到出門前一刻才丟進去。","The night before traveling abroad, what does your luggage usually look like?","Pretty much packed days ago, and I've double-checked my tick-box list.","Half open on the floor, throwing things in as I think of them—some items get tossed in right before I leave.","海外旅行の前夜、あなたのスーツケースはどんな状態ですか？","数日前からほとんどパッキングが終わっており、チェックリストで再確認も済んでいる。","床に半開きのままで、思いついたものをポンポン入れている状態。家を出る直前に入れるものもある。","해외여행 가기 전날 밤, 당신의 캐리어는 어떤 상태인가요?","며칠 전부터 진작에 짐을 다 쌌고, 체크리스트로 두 번 이상 확인했다.","방바닥에 반쯤 열려 있고, 생각나는 대로 쑤셔 넣고 있다. 심지어 출발 직전에 넣는 것도 있다.","【出國旅行行李】 【英】tick-box list (打勾清單)、【日】チェックリストで再確認 (Checklist 再確認)、【韓】체크리스트로 두 번 이상 확인했다 (用 Checklist 確認兩次以上)。"
26,JP,"對於週末，你比較喜歡：","提前排好行程：幾點起床、去哪裡、要吃什麼，大致有個計畫。","當天早上再看心情，覺得想出門就出門，想賴床就賴床。","For the weekend, you prefer to:","Schedule it ahead: what time to wake up, where to go, what to eat. Have a rough plan.","See how I feel that morning. Go out if I want to, sleep in if I want to.","週末の過ごし方として、あなたが好むのは：","事前に予定を組む。起きる時間、行く場所、食べるものなど、大体の計画がある。","当日の朝の気分で決める。外出したい気分の時は外出し、寝ていたい時は寝る。","주말을 보낼 때 당신이 선호하는 방식은:","미리 일정을 짠다. 몇 시에 일어나고, 어딜 가고, 뭘 먹을지 대략적인 계획이 있어야 안심된다.","당일 아침의 기분에 맡긴다. 나가고 싶으면 나가고, 침대에서 뒹굴고 싶으면 뒹군다.","直譯，無特殊文化背景差異。"
27,JP,"工作時突然被丟進一個「緊急插隊任務」，你多半會：","覺得被打亂節奏，有壓力但會硬把它插進原本的排程。","有點被刺激到，反而覺得這種臨時救火比照表做事更有感。","When a ""rush job"" is suddenly thrown into your workflow, you mostly:","Feel your rhythm is disrupted; it's stressful, but you force it into the timeline.","Feel a bit stimulated; sometimes this kind of fire-fighting feels more engaging than following a schedule.","仕事中に突然「緊急の割り込みタスク」を投げられた時、あなたの反応は：","ペースを乱されてストレスを感じるが、どうにか既存のスケジュールにねじ込む。","少しアドレナリンが出て、予定通りに動くより臨機応変に対応する方が燃える。","업무 중 갑자기 ""긴급 끼어들기 업무""가 들어왔을 때, 당신의 반응은:","리듬이 깨진 것 같아 스트레스받지만, 어떻게든 기존 일정표에 욱여넣는다.","은근히 자극을 받는다. 가끔은 정해진 대로 하는 것보다 이런 즉흥적인 소방수 역할이 더 재밌다.","【緊急插隊任務/救火】 【英】fire-fighting (救火)、【日】臨機応変に対応する (臨機應變)、【韓】소방수 역할 (消防水/救火員角色)。"
28,JP,"你的電腦桌面或雲端資料夾大概是：","依專案、日期 or 類型清楚分類，好一陣子才會亂。","一堆檔案、截圖散在桌面上，但你大致知道自己常用的東西在哪。","Your computer desktop or cloud drive mostly looks like:","Clearly categorized by project, date, or file type; it takes a while for it to get disorganized.","A chaotic scatter of files and screenshots, but you generally know where everything is.","あなたのPCのデスクトップやクラウドフォルダは、どんな状態ですか：","プロジェクト、日付、ファイル形式などで整理されており、普段からきれい。","ファイルやスクショが散乱しているが、自分では大事なものがどこにあるか大体把握している。","당신의 컴퓨터 바탕화면이나 클라우드 폴더의 상태는:","프로젝트, 날짜, 또는 유형별로 깔끔하게 분류되어 있어서 웬만해선 어질러지지 않는다.","파일과 캡처본이 바탕화면에 여기저기 흩어져 있지만, 본인은 뭐가 어디 있는지 대충 다 안다.","直譯，無特殊文化背景差異。"
29,JP,"面對一個還沒決定的選項，你的感受比較像：","懸著不決會讓我焦慮，營願快點拍板結果再調整。","能多留幾個選項就多留幾個，不到最後一刻不想把話說死。","Faced with a pending decision, your internal feeling is more like:","Hanging in limbo makes me anxious; I'd rather finalize it quickly and adjust later if needed.","Keep as many options open as possible; I don't want to lock it down until the last minute.","まだ決断が下されていない選択に対して、あなたはどのように感じますか：","宙ぶらりんな状態は焦る。早く決着をつけて、後から修正する方がいい。","可能な限り選択肢を残しておきたい。ギリギリになるまで確定させたくない。","아직 결정되지 않은 선택지를 앞두고 있을 때, 당신의 기분은:","미결 상태로 두는 건 너무 불안하다. 차라리 빨리 결정을 내리고 나중에 고치는 게 낫다.","가능한 한 많은 선택지를 남겨두고 싶다. 마지막 순간 전까지는 결정을 확정 짓고 싶지 않다.","直譯，無特殊文化背景差異。"
